contrast,initial,estimate,SE,df,t.ratio,p.value,lower.CL,upper.CL,Year,Effect
goro - trcy,log,0.582311924,0.261881873,175.6294248,2.223567123,0.070015189,-0.036712505,1.201336353,2021,soil.conditioning
goro - tror,log,0.891246511,0.27519342,175.9963197,3.238618542,0.004082193,0.240768443,1.54172458,2021,soil.conditioning
trcy - tror,log,0.308934588,0.266745242,174.9234966,1.158163443,0.479811249,-0.321607392,0.939476567,2021,soil.conditioning
goro - trcy,open,1.24563041,0.264225715,177.198219,4.714266394,1.46E-05,0.621112957,1.870147862,2021,soil.conditioning
goro - tror,open,1.595574777,0.296865473,176.3020183,5.374740144,7.19E-07,0.893880583,2.29726897,2021,soil.conditioning
trcy - tror,open,0.349944367,0.316028005,176.515573,1.107320748,0.510827421,-0.397036176,1.09692491,2021,soil.conditioning
goro - trcy,log,2.181363746,0.248567873,144,8.775726808,0,1.592705915,2.770021577,2022,soil.conditioning
goro - tror,log,1.793520526,0.288611176,144,6.214314185,1.57E-08,1.110032242,2.477008809,2022,soil.conditioning
trcy - tror,log,-0.38784322,0.285164246,144,-1.360069595,0.364638383,-1.063168492,0.287482052,2022,soil.conditioning
goro - trcy,open,1.725475967,0.284307552,144,6.069047254,3.24E-08,1.052179515,2.398772418,2022,soil.conditioning
goro - tror,open,2.435851557,0.30833649,144,7.899978237,1.92E-12,1.705649834,3.16605328,2022,soil.conditioning
trcy - tror,open,0.71037559,0.340957789,144,2.083470778,0.096848339,-0.097079815,1.517830995,2022,soil.conditioning