contrast,physical.barrier,estimate,SE,df,z.ratio,p.value,asymp.LCL,asymp.UCL,Year,Effect
goro - trcy,0,0.47367783,0.395001583,Inf,1.199179571,0.453635012,-0.452087614,1.399443273,2021,physical.barrier
goro - tror,0,1.05515207,0.410770319,Inf,2.568715465,0.027559438,0.092429433,2.017874708,2021,physical.barrier
trcy - tror,0,0.581474241,0.410171807,Inf,1.417635808,0.331736611,-0.379845664,1.542794146,2021,physical.barrier
goro - trcy,1,-0.005281213,0.399139792,Inf,-0.013231487,0.999903482,-0.940745379,0.930182953,2021,physical.barrier
goro - tror,1,0.449174707,0.393194538,Inf,1.142372703,0.487950764,-0.472355563,1.370704977,2021,physical.barrier
trcy - tror,1,0.45445592,0.3925243,Inf,1.157777799,0.478561724,-0.465503513,1.374415353,2021,physical.barrier
goro - trcy,0,0.237272941,0.407767221,Inf,0.581883311,0.829825004,-0.718411334,1.192957216,2022,physical.barrier
goro - tror,0,0.559447682,0.400896625,Inf,1.395491124,0.343233283,-0.380133974,1.499029337,2022,physical.barrier
trcy - tror,0,0.322174741,0.400626071,Inf,0.804178171,0.700428897,-0.616772817,1.261122299,2022,physical.barrier
goro - trcy,1,-1.012574409,0.45362198,Inf,-2.232198734,0.065872852,-2.07572851,0.050579692,2022,physical.barrier
goro - tror,1,-0.341931658,0.410220037,Inf,-0.833532317,0.682158949,-1.303364599,0.619501284,2022,physical.barrier
trcy - tror,1,0.670642751,0.463073473,Inf,1.448242646,0.31620307,-0.414662819,1.755948322,2022,physical.barrier