contrast,initial,estimate,SE,df,z.ratio,p.value,asymp.LCL,asymp.UCL,Year,Effect
goro - trcy,log,-0.3154471,0.3934874,Inf,-0.8016702,0.701981703,-1.2376638,0.60676954,2021,soil.conditioning
goro - tror,log,0.153058708,0.39151776,Inf,0.390936821,0.919216766,-0.7645417,1.070659112,2021,soil.conditioning
trcy - tror,log,0.468505818,0.397897776,Inf,1.17745272,0.46665786,-0.4640474,1.401059069,2021,soil.conditioning
goro - trcy,open,0.783843727,0.401254226,Inf,1.953484042,0.123961743,-0.156576,1.724263491,2021,soil.conditioning
goro - tror,open,1.351268069,0.412290963,Inf,3.277462257,0.00300812,0.384981498,2.317554641,2021,soil.conditioning
trcy - tror,open,0.567424343,0.404269224,Inf,1.403580361,0.339008937,-0.3800617,1.51491036,2021,soil.conditioning
goro - trcy,log,-1.005713998,0.449096617,Inf,-2.239415665,0.06473318,-2.058262002,0.046834006,2022,soil.conditioning
goro - tror,log,-0.186136041,0.405652657,Inf,-0.458855718,0.890448515,-1.136864412,0.764592329,2022,soil.conditioning
trcy - tror,log,0.819577957,0.456254891,Inf,1.796315993,0.170782226,-0.249746898,1.888902812,2022,soil.conditioning
goro - trcy,open,0.23041253,0.411492011,Inf,0.559944114,0.841349491,-0.734001539,1.194826598,2022,soil.conditioning
goro - tror,open,0.403652065,0.404969489,Inf,0.996746858,0.578907931,-0.545475163,1.352779294,2022,soil.conditioning
trcy - tror,open,0.173239536,0.406811831,Inf,0.425846848,0.904889173,-0.780205591,1.126684662,2022,soil.conditioning