block,transect,initial,current_plot_type,dispersal_treatment,seeding_trt,ngoro,wt_goro,wt_percapita_goro,wt_max15_goro,ntrcy,wt_trcy,wt_percapita_trcy,wt_max15_trcy,ntror,wt_tror,wt_percapita_tror,wt_max15_tror,tree fallen,tree cleared,notes,physical_barrier
7,7.26,open,open,NA,1,2,0.27,0.135,0.27,5,0.22,0.044,0.22,0,NA,NA,NA,,,,0
7,7.29,open,open,NA,1,0,NA,NA,NA,0,NA,NA,NA,3,0.06,0.02,0.06,,,,0
7,7.31,open,open,NA,1,2,1.84,0.92,1.84,2,0.12,0.06,0.12,0,NA,NA,NA,,,,0
7,7.6,log,gap,after,1,2,0.54,0.27,0.54,0,NA,NA,NA,0,NA,NA,NA,,,,0
7,7.8,log,gap,before,1,0,NA,NA,NA,1,0.08,0.08,0.08,0,NA,NA,NA,yes,yes,toothpicks were missing. Branch over plot removed,0
7,7.ten,log,insitu_pvc,before,1,1,0.04,0.04,0.04,4,0.22,0.055,0.22,4,0.26,0.065,0.26,,,,1
7,7.twenty,open,open_with_pvc,after,1,2,0.07,0.035,0.07,4,0.78,0.195,0.78,0,NA,NA,NA,,,,1
1,1.11,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
1,1.12,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.13,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.15,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.16,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.18,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.25,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,,0
1,1.26,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.27,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.29,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
1,1.32,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
1,1.5,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
1,1.7,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
1,1.9,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
1,1.thirty,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
1,1.twenty,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
2,2.03,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,,0
2,2.11,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.13,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.14,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
2,2.16,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,,,1
2,2.18,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.22,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.23,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
2,2.24,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,1
2,2.28,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.29,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
2,2.32,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.5,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
2,2.8,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
2,2.9,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
2,2.thirty,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.03,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.11,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.13,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.14,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.15,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.16,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.19,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.21,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.24,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.25,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.26,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
3,3.28,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.29,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
3,3.31,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,one nail missing so assumed 20cm based on remaining nail,0
3,3.7,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
3,3.ten,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
4,4.03,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.11,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,branch over plot; PVC not secure and covered transect,1
4,4.13,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
4,4.15,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.16,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,"not a tree, just lots of branches fallen and removed",1
4,4.18,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,1
4,4.23,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,"not a tree, just lots of branches fallen and removed",0
4,4.26,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
4,4.28,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.31,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
4,4.32,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
4,4.8,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.9,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.ten,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
4,4.thirty,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
4,4.twenty,open,open,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.03,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,log moved slightly,0
5,5.11,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.12,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,branches fallen over plot but not on the ground (approx 1m above),1
5,5.15,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.16,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.18,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,small branch over plot removed. Nail missing assumed 20cm based on present nail. ,1
5,5.22,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.25,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.26,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.29,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.32,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.5,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.6,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.8,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
5,5.thirty,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
5,5.twenty,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.03,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.12,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes?,branch over plot removed. Hiding behind big fallen tree.,1
6,6.13,log,insitu_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,1
6,6.14,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
6,6.16,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
6,6.19,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
6,6.22,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.25,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,approximately 3 meters NE of plot 6.8,1
6,6.27,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,branch over plot removed,0
6,6.29,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
6,6.32,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.6,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.8,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
6,6.ten,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,branch over plot but not touching; left as is. ,0
6,6.thirty,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
6,6.twenty,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
7,7.03,log,insitu_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,tree fell but not actually touching plot,1
7,7.12,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,1
7,7.14,log,insitu_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
7,7.15,log,insitu_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
7,7.19,open,open_with_log,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
7,7.21,open,open_with_pvc,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,lots of leaf litter ,1
7,7.23,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
7,7.25,open,open_with_pvc,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,one nail super buried,1
7,7.27,open,open_with_log,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"log moved slightly; put back in place. One nail missing, assumed 20cm",1
7,7.28,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
7,7.32,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,branch over plot removed,0
7,7.4,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
7,7.5,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0
7,7.7,log,gap,after,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,branch over plot removed,0
7,7.9,log,gap,before,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,,0
7,7.thirty,open,open,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0